OPE ID,School,academic_year,State,Zip Code,School Type,dl_sub_rec,dl_sub_#loans_disbursed,dl_sub_$loans_disbursed,dl_unsub_underg_rec,dl_unsub_underg#loans_disbursed,dl_unsub_underg$loans_disbursed,dl_unsub_grad_rec,dl_unsub_grad#loans_disbursed,dl_unsub_grad$loans_disbursed,dl_parentplus_rec,dl_parentplus#loans_disbursed,dl_parentplus$loans_disbursed,dl_gradplus_rec,dl_gradplus#loans_disbursed,dl_gradplus$loans_disbursed
668600,UNIVERSITY OF OTTAWA,2020-2021,,K1N   6N5,Foreign-Private,14,25,62500,20,39,83150,14,28,187081,8,16,145070,2,3,14995
668800,UNIVERSITY OF TORONTO,2020-2021,,M5S 1A1,Foreign-Private,72,135,327700,83,157,260650,53,106,984416,35,63,1195983,36,70,953518
668900,UNIVERSITY OF WINDSOR,2020-2021,,N9B   3P4,Foreign-Private,10,18,41667,10,19,25001,4,12,79691,4,8,74794,3,7,29684
669000,UNIVERSITY OF COPENHAGEN,2020-2021,,1017K,Foreign-Private,-,-, -,1,1,5500,29,56,552097,1,1,2500,15,29,303761
669100,UNIVERSITY OF CAMBRIDGE - PEMBROKE COLLEGE,2020-2021,,CB2   1RF,Foreign-Private,-,-, -,-,-, -,3,5,49750,-,-, -,2,3,36112
669200,UNIVERSITY OF LEEDS,2020-2021,,LS2 9JT,Foreign-Private,6,12,22728,6,12,14772,32,82,602351,5,10,156149,28,73,661952
669300,UNIVERSITY OF LONDON - LONDON SCHOOL OF ECONOMICS & POLITICAL SCIENCE,2020-2021,,WC2A 2AE,Foreign-Private,3,9,14500,3,9,6000,181,530,3528000,4,12,164656,135,396,4944904
669400,UNIVERSITY OF LONDON - SCHOOL OF ORIENTAL & AFRICAN STUDIES,2020-2021,,WC1H  0XG,Foreign-Public,2,2,3333,2,2,1334,35,35,223839,2,2,28364,28,28,307344
669500,UNIVERSITY OF LONDON - UNIVERSITY COLLEGE LONDON,2020-2021,,WC1E  6BT,Foreign-Private,15,29,68500,17,33,55500,179,352,3450650,9,18,386046,150,326,5256677
669600,UNIVERSITY OF LONDON - SCHOOL OF ADVANCED STUDY,2020-2021,,WC1E 7HU,Foreign-Private,-,-, -,-,-, -,1,3,20500,-,-, -,-,-, -
669700,QUEEN MARY UNIVERSITY OF LONDON,2020-2021,,E1 4NS,Foreign-Private,6,20,28555,10,32,43945,30,89,599834,7,24,236986,25,77,821173
669900,UNIVERSITY OF SUSSEX,2020-2021,,BN1   9RH,Foreign-Private,5,10,23500,5,10,10000,21,52,382062,5,10,201414,17,41,440734
670000,UNIVERSITY OF YORK,2020-2021,,YO10 5DD,Foreign-Private,12,34,38905,13,39,42070,63,243,1224914,9,27,281375,49,188,1071359
670400,UNIVERSITY COLLEGE CORK,2020-2021,,,Foreign-Public,2,4,10000,3,5,13500,30,45,599500,3,5,53420,26,42,1019900
671000,FUNDACIÓN UNIVERSIDAD DE LAS AMÉRICAS PUEBLA,2020-2021,,72810,Foreign-Private,3,7,13983,1,2,1280,-,-, -,-,-, -,-,-, -
671300,UPPSALA UNIVERSITY,2020-2021,,,Foreign-Private,3,6,14500,4,8,21300,25,50,472050,1,1,7500,11,25,85971
672000,COLLEGE OF ALAMEDA,2020-2021,CA,945012109,Public,22,51,76413,26,57,124749,-,-, -,-,-, -,-,-, -
672500,UNIVERSITY OF TENNESSEE HEALTH SCIENCE CENTER,2020-2021,TN,381634900,Public,143,311,687436,141,313,759443,2103,4424,66142824,14,40,435506,928,2200,17947793
673100,CASA LOMA COLLEGE,2020-2021,CA,914054523,Private-Nonprofit,232,579,1103465,234,594,1373517,-,-, -,20,51,162617,-,-, -
675000,VALENCIA COLLEGE,2020-2021,FL,328023028,Public,6652,11844,21038235,5508,9673,20743121,-,-, -,48,95,530633,-,-, -
675300,ILLINOIS CENTRAL COLLEGE,2020-2021,IL,616350001,Public,472,913,1377503,537,1102,1888632,-,-, -,14,34,89477,-,-, -
675600,NORTHSHORE TECHNICAL COMMUNITY COLLEGE,2020-2021,LA,704275866,Public,956,1649,2862476,1030,1929,4049034,-,-, -,5,10,18956,-,-, -
676000,UNIVERSITY OF MAINE - AUGUSTA,2020-2021,ME,043309410,Public,1216,2610,4462352,1211,2693,6102117,21,61,418547,18,37,212765,-,-, -
676800,MID MICHIGAN COLLEGE,2020-2021,MI,486259447,Public,669,1210,2026275,722,1281,2599970,-,-, -,36,75,311558,-,-, -
677100,COLLEGE FOR CREATIVE STUDIES,2020-2021,MI,482024034,Private-Nonprofit,758,1433,2995109,779,1519,2645806,13,25,232747,342,658,9059942,1,2,16809
677500,RAINY RIVER COMMUNITY COLLEGE,2020-2021,MN,566492187,Public,38,72,95974,31,58,80376,-,-, -,1,1,3650,-,-, -
677700,FLATHEAD VALLEY COMMUNITY COLLEGE,2020-2021,MT,599012699,Public,224,388,667066,241,431,868434,-,-, -,5,8,24105,-,-, -
678200,GENESEE COMMUNITY COLLEGE,2020-2021,NY,140209704,Public,833,1468,2406082,884,1729,3158764,-,-, -,20,40,147622,-,-, -
678500,SCHENECTADY COUNTY COMMUNITY COLLEGE,2020-2021,NY,123052294,Public,415,766,1067318,460,860,1683224,-,-, -,22,42,121261,-,-, -
678700,CLINTON COMMUNITY COLLEGE,2020-2021,NY,129015690,Public,169,333,490452,206,391,777446,-,-, -,7,14,42405,-,-, -
678800,TOMPKINS CORTLAND COMMUNITY COLLEGE,2020-2021,NY,130530139,Public,611,1166,2052180,599,1180,2367681,-,-, -,61,118,458727,-,-, -
678900,SUNY COLUMBIA-GREENE COMMUNITY COLLEGE,2020-2021,NY,125349543,Public,122,228,388695,154,290,611480,-,-, -,2,4,11800,-,-, -
679100,SUNY COLLEGE AT PURCHASE,2020-2021,NY,105771400,Public,1103,1980,4360002,1145,2127,4095513,27,50,435006,288,537,4648809,8,18,114104
680400,LAKELAND COMMUNITY COLLEGE,2020-2021,OH,440945198,Public,738,1472,2242424,808,1580,3160642,-,-, -,4,10,18840,-,-, -
680700,COMMUNITY COLLEGE OF BEAVER COUNTY,2020-2021,PA,150612588,Public,447,806,1268204,562,1030,2214796,-,-, -,41,79,480297,-,-, -
681000,LEHIGH CARBON COMMUNITY COLLEGE,2020-2021,PA,180782598,Public,1339,2352,3653089,1317,2320,5272133,-,-, -,8,14,106123,-,-, -
681100,LUZERNE COUNTY COMMUNITY COLLEGE,2020-2021,PA,186343899,Public,1189,2203,3666930,665,1371,2628093,-,-, -,17,38,73018,-,-, -
681500,ORANGEBURG CALHOUN TECHNICAL COLLEGE,2020-2021,SC,291188299,Public,262,550,782933,276,646,848720,-,-, -,1,2,900,-,-, -
681900,BLUE RIDGE COMMUNITY COLLEGE,2020-2021,VA,244860080,Public,192,385,559483,245,575,896886,-,-, -,5,10,45881,-,-, -
683500,DYERSBURG STATE COMMUNITY COLLEGE,2020-2021,TN,380252450,Public,214,454,543267,111,255,280528,-,-, -,4,7,25050,-,-, -
683700,UNIVERSITE LAVAL,2020-2021,,G1V 0A6,Foreign-Private,2,2,9725,2,3,11775,4,9,54727,-,-, -,-,-, -
683800,DALHOUSIE UNIVERSITY,2020-2021,,B3H   4R2,Foreign-Private,33,54,134705,40,65,148929,39,80,771500,9,15,187749,29,59,1954335
683900,UNIVERSITY OF EDINBURGH,2020-2021,,EH8 9YL,Foreign-Private,83,165,367711,104,208,397039,380,906,7300224,73,148,2334378,331,835,10871689
684200,UNIVERSITY OF DUBLIN TRINITY COLLEGE,2020-2021,,,Foreign-Private,55,105,245500,71,138,228000,110,211,2028060,31,65,955963,71,144,2094877
685000,UNIVERSITY OF CAMBRIDGE - DOWNING COLLEGE,2020-2021,,CB2   1DQ,Foreign-Private,1,2,3500,1,2,2000,1,2,13643,1,2,56842,1,2,42143
685200,BISHOP'S UNIVERSITY,2020-2021,,J1M   1Z7,Foreign-Private,11,20,46935,13,24,24000,-,-, -,3,5,27643,-,-, -
685300,MCMASTER UNIVERSITY,2020-2021,,L8S   4L8,Foreign-Private,2,3,10000,2,3,4000,2,6,41000,-,-, -,2,6,58918
685800,UNITY COLLEGE,2020-2021,ME,049889502,Private-Nonprofit,1333,6942,2960414,1423,6732,3785919,260,757,2797416,51,246,468441,9,23,37038
686500,CAMDEN COUNTY COLLEGE,2020-2021,NJ,080123240,Public,588,1313,1732207,761,1761,2711865,-,-, -,9,18,42200,-,-, -
686700,COLUMBUS STATE COMMUNITY COLLEGE- MAIN CAMPUS,2020-2021,OH,432151786,Public,4618,8428,12494533,3907,7770,12456422,-,-, -,39,79,211086,-,-, -
687100,THOMAS NELSON COMMUNITY COLLEGE,2020-2021,VA,236661433,Public,543,1096,1662920,531,1119,1905729,-,-, -,19,38,111800,-,-, -
689500,UNIVERSITY OF NEBRASKA MEDICAL CENTER,2020-2021,NE,681984265,Public,473,876,2211403,431,800,1905136,1272,2991,36818001,53,101,1012732,715,1818,16000652
690100,ROWAN COLLEGE OF SOUTH JERSEY,2020-2021,NJ,080804249,Public,1403,2589,4119799,1687,3249,6561714,-,-, -,35,69,332068,-,-, -
691100,MONTGOMERY COLLEGE,2020-2021,MD,208501195,Public,1222,1941,3919779,1084,1753,4473487,-,-, -,10,15,80496,-,-, -
693100,WAUBONSEE COMMUNITY COLLEGE,2020-2021,IL,605540000,Public,365,597,898896,483,945,1399823,-,-, -,2,4,20400,-,-, -
693800,LINN-BENTON COMMUNITY COLLEGE,2020-2021,OR,973213774,Public,923,2049,2508485,856,1902,3020077,-,-, -,15,34,127892,-,-, -
694100,DALLAS CHRISTIAN COLLEGE,2020-2021,TX,752347229,Private-Nonprofit,119,256,465081,133,259,525399,-,-, -,34,80,515975,-,-, -
694200,MID-AMERICA CHRISTIAN UNIVERSITY,2020-2021,OK,731704504,Private-Nonprofit,878,2622,3133815,921,2776,4185157,432,1171,6081961,18,38,246382,12,27,121739
694900,KALAMAZOO VALLEY COMMUNITY COLLEGE,2020-2021,MI,490099606,Public,1099,2078,2997471,706,1485,2288391,-,-, -,7,15,30697,-,-, -
695100,UNIVERSITY OF SOUTH CAROLINA UPSTATE,2020-2021,SC,293039972,Public,2868,5190,11809770,2901,5583,11714402,35,62,495878,375,699,4290816,-,-, -
696000,MAYSVILLE COMMUNITY AND TECHNICAL COLLEGE,2020-2021,KY,410568910,Public,653,1280,1987554,559,1184,1638103,-,-, -,-,-, -,-,-, -
696100,JEFFERSON COMMUNITY AND TECHNICAL COLLEGE,2020-2021,KY,402022005,Public,1593,2930,4649524,1452,2759,5262354,-,-, -,3,6,36100,-,-, -
696200,HAZARD COMMUNITY AND TECHNICAL COLLEGE,2020-2021,KY,417012402,Public,256,499,727759,303,610,928416,-,-, -,-,-, -,-,-, -
697300,CANADA COLLEGE,2020-2021,CA,940611099,Public,16,35,61381,16,37,85500,-,-, -,-,-, -,-,-, -
